Date,close,vol,symbol
1983-03-21,1.4723,1235410.9333805,CLX
1983-03-22,1.4723,1711086.2548084,CLX
1983-03-23,1.48656,683992.84364321,CLX
1983-03-24,1.48656,1342354.459749,CLX
1983-03-25,1.46521,1470465.8622511,CLX
1983-03-28,1.4723,539165.73261501,CLX
1983-03-29,1.49335,946889.32486941,CLX
1983-03-30,1.5082,770880.7732484,CLX
1983-03-31,1.46521,1493858.2971254,CLX
1983-04-04,1.4723,638319.23655623,CLX
1983-04-05,1.4362,638319.23655623,CLX
1983-04-06,1.42175,944660.69929377,CLX
1983-04-07,1.42922,321943.87518455,CLX
1983-04-08,1.42175,599324.38923494,CLX
1983-04-11,1.45066,238395.83381658,CLX
1983-04-12,1.42175,1500547.2239786,CLX
1983-04-13,1.42175,1667639.2398795,CLX
1983-04-14,1.47938,2166705.9794729,CLX
1983-04-15,1.51548,2354969.9383425,CLX
1983-04-18,1.51548,2971008.002686,CLX
1983-04-19,1.5082,1175256.3435956,CLX
1983-04-20,1.50092,949118.9671538,CLX
1983-04-21,1.51548,809867.48689971,CLX
1983-04-22,1.52246,522458.15775891,CLX
1983-04-25,1.50092,612694.10927131,CLX
1983-04-26,1.55836,1565150.9312448,CLX
1983-04-27,1.60134,2128830.5284832,CLX
1983-04-28,1.60134,1490516.3754707,CLX
1983-04-29,1.67325,1677668.0549699,CLX
1983-05-02,1.6878,1754532.2530285,CLX
1983-05-03,1.67325,733004.30554993,CLX
1983-05-04,1.66596,891191.98623577,CLX
1983-05-05,1.68043,870025.12681088,CLX
1983-05-06,1.65908,749713.91382352,CLX
1983-05-09,1.65908,480129.52245289,CLX
1983-05-10,1.69458,743033.12064033,CLX
1983-05-11,1.65908,927951.09102017,CLX
1983-05-12,1.58708,1101733.050483,CLX
1983-05-13,1.58708,779791.20871599,CLX
1983-05-16,1.59445,921267.24771074,CLX
1983-05-17,1.59445,1794635.3128851,CLX
1983-05-18,1.60862,1578522.6846987,CLX
1983-05-19,1.57292,1351265.9119254,CLX
1983-05-20,1.5798,556995.75392891,CLX
1983-05-23,1.58708,590413.95376735,CLX
1983-05-24,1.65908,1058290.1023892,CLX
1983-05-25,1.68043,814327.78817724,CLX
1983-05-26,1.67325,1349041.3531847,CLX
1983-05-27,1.62288,965830.60884489,CLX
