Date,close,vol,symbol
2012-07-20,8.855,42096342,PANW
2012-07-23,8.585,4730304,PANW
2012-07-24,9.25,4300218,PANW
2012-07-25,9.825,3597648,PANW
2012-07-26,9.98,2566806,PANW
2012-07-27,9.5,920112,PANW
2012-07-30,9.16665,1658358,PANW
2012-07-31,9.52335,1712406,PANW
2012-08-01,9.36335,664854,PANW
2012-08-02,9.18335,995826,PANW
2012-08-03,9.13165,1745058,PANW
2012-08-06,9.13,937344,PANW
2012-08-07,9.46665,2194392,PANW
2012-08-08,10.155,3023628,PANW
2012-08-09,10.2216,1755780,PANW
2012-08-10,10.22,1710162,PANW
2012-08-13,10.4534,1331982,PANW
2012-08-14,9.96665,2841900,PANW
2012-08-15,10.455,1522416,PANW
2012-08-16,11.0834,2231178,PANW
2012-08-17,11.215,2307342,PANW
2012-08-20,10.9116,1619922,PANW
2012-08-21,10.72,1485396,PANW
2012-08-22,10.5416,747312,PANW
2012-08-23,10.69,1291218,PANW
2012-08-24,10.795,1217250,PANW
2012-08-27,10.615,1061652,PANW
2012-08-28,10.65,624912,PANW
2012-08-29,10.7884,971934,PANW
2012-08-30,10.5716,1379124,PANW
2012-08-31,10.73,553416,PANW
2012-09-04,11.7017,4606806,PANW
2012-09-05,11.6666,2837850,PANW
2012-09-06,11.9016,1348398,PANW
2012-09-07,11.79,3539670,PANW
2012-09-10,11.9584,8272824,PANW
2012-09-11,11.1,18155004,PANW
2012-09-12,10.81,4134264,PANW
2012-09-13,11.33,4606614,PANW
2012-09-14,11.165,2547978,PANW
2012-09-17,11.3184,889800,PANW
2012-09-18,11.53,2594982,PANW
2012-09-19,11.3334,2348436,PANW
2012-09-20,10.8416,1551006,PANW
2012-09-21,10.67,3152250,PANW
2012-09-24,10.7766,1827756,PANW
2012-09-25,10.695,2271528,PANW
2012-09-26,10.5416,2356134,PANW
2012-09-27,10.845,2256570,PANW
2012-09-28,10.2616,6389076,PANW
2012-10-01,10.1,2382762,PANW
2012-10-02,10.3334,2213346,PANW
2012-10-03,10.9766,4986150,PANW
2012-10-04,10.96,1057218,PANW
2012-10-05,10.3334,4582992,PANW
2012-10-08,10.345,1181748,PANW
2012-10-09,10.3267,1481982,PANW
2012-10-10,10.24,3275076,PANW
2012-10-11,10.16,1774338,PANW
2012-10-12,10.4934,1922388,PANW
2012-10-15,10.925,1769760,PANW
2012-10-16,10.9284,1565202,PANW
2012-10-17,10.9166,4474680,PANW
2012-10-18,10.3166,24424212,PANW
2012-10-19,10.0034,5164464,PANW
2012-10-22,10.0,3093618,PANW
2012-10-23,9.95835,5323002,PANW
2012-10-24,9.95835,2004054,PANW
2012-10-25,9.675,2664696,PANW
2012-10-26,9.38335,5200098,PANW
2012-10-31,9.16335,6796830,PANW
2012-11-01,9.365,4828668,PANW
2012-11-02,9.1,2952852,PANW
2012-11-05,9.3,3884994,PANW
2012-11-06,9.23665,2160918,PANW
2012-11-07,8.98335,908670,PANW
2012-11-08,8.66,3613338,PANW
2012-11-09,8.66665,1946166,PANW
2012-11-12,8.71665,1360314,PANW
2012-11-13,8.865,2869218,PANW
2012-11-14,8.73165,2220798,PANW
2012-11-15,8.56665,1356978,PANW
2012-11-16,8.875,4038600,PANW
